domisili;belajar;kelas;durasi_belajar;jumlah_keluarga;cita_cita;minat_belajar
Krajan;Jarang;7;60;6;Ya;0
Krajan;Iya;7;30;4;Ya;0
Krajan;Jarang;7;30;4;Ya;0
Gunung Malang;Iya;7;60;5;Ya;0
Gunung Malang;Iya;7;60;3;Ya;0
Dulukan;Tidak;7;0;6;Tidak;1
Krajan;Jarang;7;30;4;Ya;0
Krajan;Iya;7;90;4;Ya;0
Dulukan;Tidak;7;0;4;Tidak;1
Krajan;Jarang;8;30;3;Ya;0
Krajan;Iya;8;60;4;Ya;0
Gunung Malang;Jarang;8;30;3;Ya;0
Krajan;Jarang;8;30;4;Ya;1
Dulukan;Jarang;8;30;3;Ya;0
Krajan;Jarang;8;30;5;Ya;0
Dulukan;Jarang;8;30;4;Ya;0
Krajan;Jarang;8;30;3;Ya;0
Gunung Malang;Jarang;8;30;4;Ya;0
Krajan;Jarang;8;30;3;Ya;1
Krajan;Jarang;9;30;3;Ya;0
Dulukan;Jarang;9;30;3;Ya;1
Gunung Malang;Tidak;9;0;3;Tidak;1
Krajan;Jarang;9;30;2;Ya;0
Dulukan;Jarang;9;30;3;Ya;0
Gunung Malang;Jarang;9;30;3;Ya;0
Gunung Malang;Jarang;9;60;2;Ya;0
Krajan;Jarang;9;30;4;Ya;0
Pancor;Tidak;9;0;4;Tidak;1
Pancor;Jarang;9;30;2;Ya;0
Darmoyo Patemon;Jarang;9;30;2;Ya;0
Darmoyo Patemon;Jarang;9;30;2;Ya;0
Krajan;Jarang;9;30;3;Ya;0
Gunung Malang;Jarang;9;30;2;Ya;0
Gabus Utara Ranon;Jarang;9;30;5;Ya;0
Dulukan;Tidak;9;0;4;Tidak;1
Dulukan;Tidak;9;0;4;Tidak;1
Dawuhan;Jarang;9;30;4;Tidak;0
Gunung Malang;Iya;9;30;4;Ya;0
Krajan;Jarang;9;30;3;Ya;0
Dulukan;Jarang;9;30;4;Ya;0
Dulukan;Jarang;9;30;3;Ya;0
